,gucci,patek,versace,balenciaga,saint laurent
2017-05-06,77.08333333333333,78.29166666666667,34.583333333333336,70.875,80.54166666666667
2017-05-07,84.67272727272727,59.07272727272727,45.25454545454546,77.47272727272727,73.16363636363636
2017-05-08,72.16666666666667,53.791666666666664,40.458333333333336,69.20833333333333,70.91666666666667
2017-05-09,69.45833333333333,57.791666666666664,42.0,67.91666666666667,70.75
2017-05-10,68.625,53.916666666666664,44.125,70.625,69.25
2017-05-11,69.91666666666667,71.41666666666667,44.416666666666664,68.875,71.0
2017-05-12,70.91666666666667,61.875,43.541666666666664,68.70833333333333,71.0
2017-05-13,77.08333333333333,69.16666666666667,47.708333333333336,76.45833333333333,74.66666666666667
2017-05-14,89.54545454545455,80.61818181818182,49.78181818181818,76.72727272727273,55.41818181818182
2017-05-15,72.5,75.25,37.125,67.375,50.083333333333336
2017-05-16,69.66666666666667,72.0,38.458333333333336,65.33333333333333,46.791666666666664
2017-05-17,69.0,70.41666666666667,37.25,61.875,46.25
2017-05-18,68.29166666666667,71.79166666666667,39.125,60.875,46.625
2017-05-19,70.5,73.95833333333333,38.125,61.833333333333336,51.625
2017-05-20,77.875,83.29166666666667,41.541666666666664,68.58333333333333,49.958333333333336
2017-05-21,84.45454545454545,80.89090909090909,37.96363636363636,75.18181818181819,64.27272727272727
2017-05-22,67.25,74.95833333333333,31.583333333333332,70.0,77.375
2017-05-23,64.16666666666667,71.25,28.666666666666668,66.66666666666667,75.5
2017-05-24,65.0,73.33333333333333,28.708333333333332,65.95833333333333,76.33333333333333
2017-05-25,68.75,81.95833333333333,30.291666666666668,70.125,75.33333333333333
2017-05-26,76.33333333333333,80.29166666666667,27.916666666666668,70.0,78.16666666666667
2017-05-27,79.25,82.83333333333333,28.916666666666668,74.45833333333333,77.375
2017-05-28,85.58181818181818,53.78181818181818,63.50909090909091,79.83636363636364,22.6
2017-05-29,73.79166666666667,37.25,62.416666666666664,75.54166666666667,5.541666666666667
2017-05-30,73.70833333333333,35.458333333333336,63.0,73.0,5.166666666666667
