,Tot_Streams,Best_Rank,Top_Category,%Stream,Best_Rank_Moment,Best_Rank_Moment_5_Day
2017-05-10,953522,18,5,0.00852329038829311,1.0,0.2
2017-05-11,952271,18,5,0.008553617626647787,0.0,0.0
2017-05-12,993400,19,5,0.008095873858103031,-1.0,0.0
2017-05-13,974713,16,5,0.008626548279704951,1.0,0.4
2017-05-14,852421,18,5,0.008500881286511865,-1.0,0.0
2017-05-15,868523,20,5,0.007981967645645386,-1.0,-0.4
2017-05-16,891319,19,5,0.008044879161324287,1.0,-0.2
2017-05-17,882193,19,5,0.008056160302534142,0.0,0.0
2017-05-18,865101,21,5,0.0076181570969259624,-1.0,-0.4
2017-05-19,885835,20,5,0.007646337196154913,1.0,0.0
2017-05-20,865881,19,5,0.007964880389367292,1.0,0.4
2017-05-21,783931,19,5,0.007974461654589685,0.0,0.2
2017-05-22,815108,21,5,0.007660558648956498,-1.0,0.0
2017-05-23,858085,19,5,0.00798964718782827,1.0,0.4
2017-05-24,875333,18,5,0.008002782702086484,1.0,0.4
2017-05-25,887050,18,5,0.007909973700596996,0.0,0.2
2017-05-26,927584,17,5,0.007591612397077902,1.0,0.4
2017-05-27,859733,16,5,0.007833556730409313,1.0,0.8
2017-05-28,771754,17,5,0.007811399432156968,-1.0,0.4
2017-05-29,766574,18,5,0.00785885775491453,-1.0,0.0
2017-06-01,797083,21,5,0.007375609874900289,-1.0,-0.2
2017-06-03,633752,29,5,0.0060962083589040615,-1.0,-0.6
2017-06-04,611349,28,5,0.00664458214873324,1.0,-0.6
2017-06-05,589871,33,5,0.005881558903712063,-1.0,-0.6
2017-06-06,607482,33,5,0.005881923552306069,0.0,-0.4
2017-06-07,648806,33,5,0.0061536049847229725,0.0,-0.2
2017-06-08,595452,32,5,0.005765486643490672,1.0,0.2
2017-06-09,613255,33,5,0.005618906382361332,-1.0,-0.2
2017-06-10,578591,31,5,0.005647751373722685,1.0,0.2
2017-06-11,541509,31,5,0.005773629505475261,0.0,0.2
2017-06-12,555672,37,5,0.005550362226580319,-1.0,0.0
